iter,x11,x10,x2,x3:B1,x3:B2,x3:B3,v
123,0.0193565394671936,0.0826233226590121,4.59006745413213e-06,5.94043143205736e-05,7.75307917840376e-05,6.32091232324188e-05,0.00350562920815179
113,0.0185406685511775,0.0886566703714288,4.87786861405118e-06,5.79068949930805e-05,9.63391293404515e-05,8.00946488676309e-05,0.00333902939848768
33,0.0162729337667698,0.0593582712708656,4.27621854582787e-06,4.53961210328912e-05,5.71444624834797e-05,5.89752966991147e-05,0.00318795690837252
43,0.0166578389711016,0.0719079453369384,4.78258409970514e-06,6.94667548393354e-05,8.35780419696353e-05,7.27575119770489e-05,0.00308329557655864
103,0.0198436572627165,0.0742689056510997,5.03252079194732e-06,6.49804115308417e-05,6.54355813124416e-05,6.78984915218089e-05,0.00315371827708207
23,0.0179987948110874,0.0738574137077793,5.29996385506508e-06,5.4114319390283e-05,6.48289138481704e-05,6.11515763130406e-05,0.00330213992197339
581,0.0201569094782554,0.0750457097901169,4.60324471258364e-06,5.80743326307449e-05,9.79232809912225e-05,5.93146110936283e-05,0.00308019026259518
342,0.0174525288307098,0.0773728340958895,5.2739195283914e-06,7.78312361873182e-05,9.12700684063025e-05,8.93605066128908e-05,0.00323636765166005
571,0.0191260127055402,0.0805290462270055,5.23125113674894e-06,4.52803844362078e-05,9.85143185531314e-05,7.46966405133948e-05,0.00307640668652244
193,0.015747605883486,0.0649914346125404,4.81211386285107e-06,5.15931153860533e-05,8.32417380030026e-05,6.41208490327979e-05,0.00310397905100758
551,0.016223680628774,0.0628140967449399,5.42595909009339e-06,5.13280458075641e-05,6.95271043408563e-05,6.56139845821784e-05,0.00336975825143557
561,0.0205201046107303,0.0660479420091691,6.50564035075277e-06,4.25034843193984e-05,8.13855107722372e-05,5.94300814729275e-05,0.00338046026449291
511,0.0194245862231355,0.0618814330233312,5.98841456613997e-06,4.91485385986823e-05,6.30841862471952e-05,4.9513163570541e-05,0.00327917207803346
521,0.0172047778086631,0.0807911665899749,4.51515114659168e-06,5.73229649254746e-05,7.11898209460121e-05,6.63599230681764e-05,0.00309077042575351
531,0.0185369114626623,0.0612146901303982,5.23343700979459e-06,4.40568201378228e-05,7.3578614411308e-05,4.27945669903205e-05,0.00314596451586632
541,0.0191036148001724,0.0617279058342699,4.65389894480963e-06,4.83611919055446e-05,4.56110561388714e-05,5.55846666090887e-05,0.00287321171126824
501,0.0188487948024417,0.0626950729047689,5.19166889825378e-06,4.24581829843714e-05,6.63716154766336e-05,4.84174243559346e-05,0.00314406943046552
292,0.016540136450612,0.0617294127616866,5.01829641127984e-06,4.22089556176944e-05,7.00377026869042e-05,5.38536671405817e-05,0.00312198604325557
322,0.0182537161133969,0.0549140791502617,4.58551091487931e-06,4.09808258845984e-05,6.5514275253474e-05,4.39129114582053e-05,0.00315775783034728
